ratio = 3.3675714798348104, flow_size = 1.863242MB
ratio = 5.916576017582223, flow_size = 8.498651MB
ratio = 8.035071232641195, flow_size = 6.007169MB
ratio = 7.018222793724101, flow_size = 6.988865MB
ratio = 3.023205778066254, flow_size = 22.376272MB
ratio = 12.383305179141802, flow_size = 3.136002MB
ratio = 7.154949254493172, flow_size = 5.371686MB
ratio = 2.216586890553714, flow_size = 1.604105MB
ratio = 9.594503382694846, flow_size = 4.457824MB
ratio = 2.8113964994822096, flow_size = 1.768013MB
ratio = 6.960888158312514, flow_size = 6.47615MB
ratio = 2.6659074562455047, flow_size = 0.149361MB
ratio = 2.47367463915026, flow_size = 1.673015MB
ratio = 10.177876358308575, flow_size = 4.298219MB
ratio = 2.1230909292931464, flow_size = 6.557643MB
ratio = 6.735467805279313, flow_size = 7.355087MB
ratio = 5.281873261477369, flow_size = 9.940226MB
ratio = 8.63426099428598, flow_size = 5.058048MB
ratio = 5.653773315273446, flow_size = 9.500588MB
ratio = 2.0237404105328634, flow_size = 1.512932MB
ratio = 7.399987480285797, flow_size = 6.761589MB
ratio = 3.1674926871196263, flow_size = 20.550954MB
ratio = 10.42524813257516, flow_size = 3.428134MB
ratio = 10.386493730036332, flow_size = 4.032096MB
ratio = 6.6476761619190405, flow_size = 7.173627MB
ratio = 17.341650089079565, flow_size = 1.443303MB
ratio = 21.622664803924753, flow_size = 2.520158MB
ratio = 3.62751113004061, flow_size = 18.021041MB
ratio = 2.1811061843640607, flow_size = 1.179933MB
ratio = 5.802295110470821, flow_size = 1.822977MB
ratio = 17.734961429915334, flow_size = 1.535215MB
ratio = 3.5538584947876095, flow_size = 17.893907MB
ratio = 2.2476210279116415, flow_size = 0.92553MB
ratio = 10.801902299331442, flow_size = 4.321289MB
ratio = 9.97181775594287, flow_size = 4.867024MB
ratio = 4.700299499301551, flow_size = 1.977024MB
ratio = 11.255677467954259, flow_size = 3.765638MB
ratio = 5.665566278976032, flow_size = 8.927746MB
ratio = 12.047755228127984, flow_size = 2.450508MB
ratio = 5.744285795644074, flow_size = 7.280581MB
ratio = 2.357365881351121, flow_size = 0.076419MB
ratio = 2.469558389221971, flow_size = 2.317317MB
ratio = 2.062486237319984, flow_size = 1.527141MB
ratio = 2.080621301775148, flow_size = 0.015033MB
ratio = 9.921360331018075, flow_size = 4.073314MB
ratio = 7.835824081981213, flow_size = 0.069791MB
ratio = 14.73604860834836, flow_size = 2.258916MB
ratio = 9.122567216418306, flow_size = 4.448704MB
ratio = 2.20888165198727, flow_size = 0.756113MB
ratio = 4.317969858755153, flow_size = 0.078678MB
ratio = 10.280072319971778, flow_size = 3.959359MB
ratio = 17.127362270694, flow_size = 1.587551MB
ratio = 2.2809252205392396, flow_size = 4.699361MB
ratio = 2.0545879696823093, flow_size = 1.529344MB
ratio = 6.061322196190282, flow_size = 0.019254MB
ratio = 9.49357121805053, flow_size = 5.729764MB
ratio = 13.871765464531011, flow_size = 2.658133MB
ratio = 2.0920386007237637, flow_size = 0.049237MB
ratio = 14.519919943085878, flow_size = 2.685257MB
ratio = 3.629759161179259, flow_size = 17.452249MB
ratio = 14.261558699677565, flow_size = 3.238861MB
ratio = 11.877215788995942, flow_size = 3.629611MB
ratio = 2.073627965948198, flow_size = 0.033903MB
ratio = 16.562820212408884, flow_size = 1.83376MB
ratio = 2.7499017984905025, flow_size = 25.408618MB
ratio = 2.879061239457279, flow_size = 0.926138MB
ratio = 12.781330467910522, flow_size = 2.954731MB
ratio = 16.870916112593065, flow_size = 1.44827MB
ratio = 11.65319587628866, flow_size = 3.835874MB
ratio = 2.4293193717277486, flow_size = 0.000487MB
ratio = 10.005756989758197, flow_size = 5.27442MB
ratio = 2.1953944401611802, flow_size = 1.542013MB
ratio = 5.723568327936226, flow_size = 8.469521MB
ratio = 4.783973160959942, flow_size = 1.989103MB
ratio = 3.7043747053593274, flow_size = 1.900971MB
ratio = 6.727559272030713, flow_size = 7.349293MB
ratio = 9.552932928254265, flow_size = 4.801811MB
ratio = 2.426181200679253, flow_size = 1.573879MB
ratio = 2.2027005820588905, flow_size = 1.574306MB
ratio = 16.42591071178856, flow_size = 1.315038MB
ratio = 7.123030792178337, flow_size = 6.907075MB
ratio = 6.630880017800613, flow_size = 5.846918MB
ratio = 10.435509232092702, flow_size = 4.089406MB
ratio = 13.43267496233952, flow_size = 4.312367MB
ratio = 7.767330946266894, flow_size = 4.897095MB
ratio = 2.533820104825883, flow_size = 1.679479MB
ratio = 16.295125301267266, flow_size = 1.791343MB
ratio = 4.803505535055351, flow_size = 0.109025MB
ratio = 8.227828844080307, flow_size = 4.607456MB
ratio = 4.98348979794118, flow_size = 8.373933MB
ratio = 9.964965287606962, flow_size = 4.157784MB
ratio = 2.833023780171295, flow_size = 2.891589MB
ratio = 2.798781319630758, flow_size = 1.738251MB
ratio = 12.196669615044417, flow_size = 2.693527MB
ratio = 16.955288373759984, flow_size = 1.714193MB
ratio = 2.8996867675448863, flow_size = 24.257297MB
ratio = 9.142428741786892, flow_size = 4.031165MB
ratio = 9.369399475875477, flow_size = 4.417147MB
ratio = 17.34829931972789, flow_size = 0.007375MB
ratio = 2.8657611914633447, flow_size = 24.873051MB
ratio = 3.1964210495898353, flow_size = 21.365962MB
ratio = 13.00752452800688, flow_size = 1.733001MB
ratio = 5.792841496686293, flow_size = 8.466638MB
ratio = 15.933815165368188, flow_size = 2.173298MB
ratio = 11.52273152152509, flow_size = 4.687265MB
ratio = 15.091705444583576, flow_size = 2.131654MB
ratio = 15.310449702646933, flow_size = 2.499496MB
ratio = 3.868408278798299, flow_size = 1.941675MB
ratio = 16.82992755905512, flow_size = 1.843863MB
ratio = 7.598115520583875, flow_size = 7.432825MB
ratio = 8.166513655269313, flow_size = 5.878468MB
ratio = 4.681704040123728, flow_size = 1.664371MB
ratio = 78.55869773937332, flow_size = 0.038849MB
ratio = 64.26093546990039, flow_size = 0.067415MB
ratio = 6.592437854182821, flow_size = 5.934169MB
ratio = 7.06709080708329, flow_size = 2.09193MB
ratio = 4.449695442134005, flow_size = 0.007136MB
ratio = 2.0776841743957855, flow_size = 1.500669MB
ratio = 4.3072806760942655, flow_size = 14.78476MB
ratio = 16.0487662113273, flow_size = 1.641678MB
ratio = 42.913229831412515, flow_size = 0.200829MB
ratio = 14.276468422021727, flow_size = 2.282369MB
ratio = 75.39740431981811, flow_size = 0.028063MB
ratio = 2.635522220054842, flow_size = 24.421909MB
ratio = 6.827559472480875, flow_size = 8.948184MB
ratio = 2.1006483527741597, flow_size = 1.532101MB
ratio = 13.438888663860387, flow_size = 3.73025MB
ratio = 3.997632670324377, flow_size = 1.932643MB
ratio = 10.82740133046051, flow_size = 3.699735MB
ratio = 6.667809793853936, flow_size = 7.995543MB
ratio = 7.318308735540486, flow_size = 0.099891MB
ratio = 14.229546072302256, flow_size = 0.038107MB
ratio = 5.131911709020218, flow_size = 11.903278MB
ratio = 3.1280145125605965, flow_size = 1.848361MB
ratio = 17.142918774542267, flow_size = 4.242749MB
ratio = 6.372107676080607, flow_size = 3.328571MB
ratio = 5.996736287473872, flow_size = 7.75951MB
ratio = 2.102593883081688, flow_size = 0.087009MB
ratio = 2.4294150916097803, flow_size = 0.857184MB
ratio = 3.325245061196073, flow_size = 1.409785MB
ratio = 2.2545326112550037, flow_size = 0.054127MB
ratio = 14.024602985944437, flow_size = 3.013114MB
ratio = 5.702499723481916, flow_size = 1.028736MB
ratio = 2.950813851357665, flow_size = 1.178687MB
ratio = 17.21904111481146, flow_size = 1.504742MB
ratio = 8.697311923549332, flow_size = 5.738396MB
ratio = 14.291792743199679, flow_size = 4.482643MB
ratio = 6.65272673090295, flow_size = 0.02224MB
ratio = 11.113391400200024, flow_size = 3.754284MB
ratio = 5.519151732429647, flow_size = 8.106484MB
ratio = 13.116296089173337, flow_size = 3.357363MB
ratio = 4.671872511337497, flow_size = 9.610713MB
ratio = 2.7640119812636645, flow_size = 29.890978MB
ratio = 5.617548107156333, flow_size = 1.41954MB
ratio = 36.78235294117647, flow_size = 0.003562MB
ratio = 2.9229147556285104, flow_size = 2.866845MB
ratio = 10.595357990718236, flow_size = 6.247739MB
ratio = 12.89495027153738, flow_size = 3.067005MB
ratio = 17.99507868970113, flow_size = 0.134861MB
ratio = 6.282728771582524, flow_size = 8.373547MB
ratio = 6.300147664168756, flow_size = 9.18314MB
ratio = 7.7101449275362315, flow_size = 0.000962MB
ratio = 5.287010553309005, flow_size = 0.023094MB
ratio = 12.084034015432792, flow_size = 3.143582MB
ratio = 17.066777638462536, flow_size = 1.605595MB
ratio = 7.916996622744644, flow_size = 5.9661MB
ratio = 12.5914774177086, flow_size = 3.267746MB
ratio = 2.137994021919628, flow_size = 0.022177MB
ratio = 3.83458970620355, flow_size = 1.922739MB
ratio = 5.432866366243748, flow_size = 9.541916MB
ratio = 28.433261183261184, flow_size = 0.001356MB
ratio = 9.238708719479508, flow_size = 6.08761MB
ratio = 2.479300203604555, flow_size = 0.060344MB
ratio = 38.62205615942029, flow_size = 0.007518MB
ratio = 11.514657803528012, flow_size = 4.513589MB
ratio = 17.912431600191415, flow_size = 2.768536MB
ratio = 4.619150785125463, flow_size = 3.855074MB
ratio = 56.883134699476976, flow_size = 0.041279MB
ratio = 11.854638531064289, flow_size = 4.464198MB
ratio = 5.255014049160302, flow_size = 8.571783MB
ratio = 5.590736023228422, flow_size = 10.352662MB
ratio = 3.76212145769178, flow_size = 1.815559MB
ratio = 20.44915519002947, flow_size = 1.362944MB
ratio = 3.7670331028735147, flow_size = 17.849119MB
ratio = 14.50084049308928, flow_size = 0.029914MB
ratio = 3.0375321291173254, flow_size = 22.770301MB
ratio = 6.689032896880507, flow_size = 7.442963MB
ratio = 4.499054820415879, flow_size = 0.05131MB
ratio = 3.5506591337099813, flow_size = 0.172018MB
ratio = 3.1929467891897754, flow_size = 0.782201MB
ratio = 3.1362863753886754, flow_size = 24.490557MB
ratio = 10.589768889226216, flow_size = 4.616702MB
ratio = 7.016727011272886, flow_size = 6.869561MB
ratio = 4.3506533706688, flow_size = 9.968897MB
ratio = 2.1151170145477547, flow_size = 0.025805MB
ratio = 16.68665539126212, flow_size = 1.374925MB
ratio = 12.556834279693263, flow_size = 0.969134MB
ratio = 12.150540076721178, flow_size = 0.847402MB
ratio = 2.1095896286605833, flow_size = 1.014496MB
ratio = 3.5965384335684676, flow_size = 0.066175MB
ratio = 3.043807103527561, flow_size = 0.541757MB
ratio = 4.672935141988953, flow_size = 25.216006MB
ratio = 17.282462928544167, flow_size = 3.746185MB
ratio = 11.27688646432102, flow_size = 4.788826MB
ratio = 3.160857359727226, flow_size = 0.94033MB
ratio = 2.7912260645898828, flow_size = 0.069091MB
ratio = 2.22891850454063, flow_size = 0.812372MB
ratio = 12.374284581312502, flow_size = 7.331652MB
ratio = 118.5920179456024, flow_size = 0.029803MB
ratio = 2.9723956143392125, flow_size = 24.156034MB
ratio = 6.203944724291302, flow_size = 7.072901MB
ratio = 23.825623878802677, flow_size = 1.220282MB
ratio = 11.488070934519637, flow_size = 1.076519MB
ratio = 3.8189088487753082, flow_size = 17.134158MB
ratio = 6.339010560390973, flow_size = 7.86821MB
ratio = 2.3428643330497203, flow_size = 2.888094MB
ratio = 3.354057002418941, flow_size = 27.312892MB
ratio = 85.18800539083558, flow_size = 0.026056MB
ratio = 2.038869520616679, flow_size = 1.506759MB
ratio = 17.019513913349773, flow_size = 1.643464MB
ratio = 10.57370532748771, flow_size = 4.391066MB
ratio = 18.748820176908993, flow_size = 0.875389MB
ratio = 8.120178900942499, flow_size = 5.66789MB
ratio = 2.2959515281312375, flow_size = 3.421988MB
ratio = 2.1674487895716945, flow_size = 0.062289MB
ratio = 16.476693818119788, flow_size = 1.90814MB
ratio = 6.488698278401596, flow_size = 8.890764MB
ratio = 2.455149253731343, flow_size = 1.660283MB
ratio = 2.2718531419263566, flow_size = 2.018384MB
ratio = 4.400509638821183, flow_size = 0.009857MB
ratio = 9.289499484940974, flow_size = 6.143105MB
ratio = 3.4623481390392925, flow_size = 18.476487MB
ratio = 8.671362821568723, flow_size = 4.826062MB
ratio = 2.407275203719794, flow_size = 1.425924MB
ratio = 23.258928571428573, flow_size = 0.005114MB
ratio = 2.260566213085875, flow_size = 1.621977MB
ratio = 17.769360720145276, flow_size = 2.400294MB
ratio = 2.3968078499565273, flow_size = 0.862463MB
ratio = 10.6374986233618, flow_size = 1.141699MB
ratio = 2.258757775357081, flow_size = 1.073788MB
ratio = 2.2087606112054328, flow_size = 1.131612MB
ratio = 2.0971643918756793, flow_size = 0.795409MB
ratio = 2.657059234376559, flow_size = 1.695285MB
ratio = 5.2997992526484365, flow_size = 7.882312MB
ratio = 2.203387503522628, flow_size = 1.552853MB
ratio = 8.997926568554467, flow_size = 4.901112MB
ratio = 3.2317265280403276, flow_size = 0.934671MB
ratio = 16.222211116729184, flow_size = 1.979035MB
ratio = 6.724274107735992, flow_size = 8.065883MB
ratio = 4.848798788552059, flow_size = 13.709709MB
ratio = 4.334588385449904, flow_size = 1.9581MB
ratio = 32.36407766990291, flow_size = 0.025005MB
ratio = 16.321774304848155, flow_size = 3.531998MB
ratio = 13.478675463263393, flow_size = 2.548948MB
ratio = 2.1654456269545044, flow_size = 1.793999MB
ratio = 6.127075691134413, flow_size = 7.722116MB
ratio = 8.983831154380374, flow_size = 4.565045MB
ratio = 5.541740838904492, flow_size = 0.806737MB
ratio = 8.659566978348918, flow_size = 5.865624MB
ratio = 15.923932030182401, flow_size = 1.957896MB
ratio = 2.391146851648499, flow_size = 1.68353MB
ratio = 13.729057579093476, flow_size = 1.19636MB
ratio = 2.747895786555613, flow_size = 0.901228MB
ratio = 10.7145593774412, flow_size = 2.29932MB
ratio = 2.509021646633337, flow_size = 1.696254MB
ratio = 27.843071132141564, flow_size = 1.959336MB
ratio = 9.128206573106665, flow_size = 4.558788MB
ratio = 7.610216788054504, flow_size = 7.574588MB
ratio = 2.1476810119220704, flow_size = 1.542941MB
ratio = 2.103786362030385, flow_size = 1.522606MB
ratio = 2.959070086055572, flow_size = 0.180776MB
ratio = 5.097276142503207, flow_size = 9.785789MB
ratio = 2.298027688223023, flow_size = 1.411634MB
ratio = 19.020868830733832, flow_size = 1.588408MB
ratio = 11.300945113684781, flow_size = 2.365637MB
ratio = 4.171613037592419, flow_size = 0.016723MB
ratio = 2.9862284457817383, flow_size = 0.005233MB
ratio = 3.1487062995179786, flow_size = 1.6244MB
ratio = 2.8360995518382865, flow_size = 5.115921MB
ratio = 3.9061260467166155, flow_size = 0.004493MB
ratio = 8.597571136851284, flow_size = 5.427732MB
ratio = 10.776509754569595, flow_size = 4.205045MB
ratio = 8.49435551811289, flow_size = 0.02114MB
ratio = 12.640150088301624, flow_size = 2.340306MB
ratio = 4.19022654933533, flow_size = 0.077791MB
ratio = 17.494660211583287, flow_size = 1.613344MB
ratio = 2.633638941766054, flow_size = 1.744318MB
ratio = 8.206589186571618, flow_size = 2.020421MB
ratio = 3.660115189208129, flow_size = 0.991491MB
ratio = 16.018776166109866, flow_size = 1.924718MB
ratio = 3.039785479787301, flow_size = 20.117879MB
ratio = 2.4011867053532283, flow_size = 29.005571MB
ratio = 2.649877650897227, flow_size = 0.077656MB
ratio = 67.17587108013937, flow_size = 0.039086MB
ratio = 15.09242338267035, flow_size = 2.199496MB
ratio = 18.486651961658854, flow_size = 1.421173MB
ratio = 2.106626349517926, flow_size = 1.55496MB
ratio = 8.520286970515835, flow_size = 2.281254MB
ratio = 3.4276741802464623, flow_size = 2.904589MB
ratio = 2.4465144351674883, flow_size = 1.680758MB
ratio = 4.014976257153293, flow_size = 0.000122MB
ratio = 2.066146304764368, flow_size = 0.916856MB
ratio = 2.062207749500718, flow_size = 1.389275MB
ratio = 4.121589840075258, flow_size = 0.003616MB
ratio = 3.0553396469303657, flow_size = 19.433728MB
ratio = 15.945706407563025, flow_size = 0.083871MB
ratio = 4.654583507743826, flow_size = 0.044656MB
ratio = 2.036385688295937, flow_size = 0.669238MB
ratio = 3.3374344953292323, flow_size = 0.00273MB
ratio = 14.873919087433816, flow_size = 2.284181MB
ratio = 10.06096826034552, flow_size = 0.02095MB
